,t1,t2,ciudad
386,9.04365,-27.196089,Villa Nueva
387,-19.17108,-7.8129563,Villa Ortuzar
388,35.0892,12.432432,Villa Parque Santa Ana
389,11.986241,6.254311,Villa Parque Siquiman
390,-14.052253,-1.4116112,Villa Pueyrredón
391,22.618118,8.814076,Villa Quillinzo
392,-18.673403,7.8416977,Villa Real
393,6.0399375,6.0585003,Villa Regina
394,-4.9806037,1.6160327,Villa San Isidro
395,30.527794,9.702826,Villa Santa Cruz del Lago
396,-24.486372,4.1097755,Villa Santa Rita
397,-40.192337,0.34775984,Villa Soldati
398,10.079221,-22.660276,Villa Traful
399,-18.293385,-4.2209864,Villa Urquiza
400,15.691847,3.5416734,Villa Yacanto
401,25.939198,18.172657,Villa de Las Rosas
402,-6.4281974,10.567201,Villa de María
403,11.795994,-5.5929246,Villa de Soto
404,-6.3567514,-25.179014,Villa de la Quebrada
405,28.769564,13.069309,Villa del Dique
406,-19.345911,3.8658748,Villa del Parque
407,33.998253,21.535519,Villa del Totoral
408,10.004608,-18.466965,Vistalba
409,-4.9378934,20.62954,Yerba Buena
410,-8.255302,-9.997381,Zavalla
411,-12.80752,3.9771554,Zárate
412,34.325554,-7.5577807,calamuchita
413,-25.750864,9.734487,Álvarez
414,-30.678837,7.3165507,
